Altium Designer Pick and Place Locations
C:\Users\aiden\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for WordClock2.csv

========================================================================================================================
File Design Information:

Date:       26/04/24
Time:       20:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Center-X(mil)","Center-Y(mil)","Comment","Description","Designator","Footprint","Layer","Rotation"
"4450.000","100.000","TC2030-IDC-NL","CABLE ADAPTER 6 POS","J2","TAG_TC2030-IDC-NL","BottomLayer","0"
"3929.488","404.606","ESP32-S3-WROOM-1U","2.4 GHz Wi-Fi (802.11 b/g/n) and Bluetooth 5 (LE) module","U257","XCVR_ESP32-S3-WROOM-1U","BottomLayer","0"
"3330.000","413.248","LM1117MPX-3.3/NOPB","800mA Low-Dropout Linear Regulator, 4-pin SOT-223, Pb-Free","U258","DCY0004A_L","BottomLayer","270"
"5340.000","398.789","CRCW06035K10FKEA","RES Thick Film, 5.1kO, 1%, 0.1W, 100ppm/°C, 0603","R2","FP-CRCW0603-e3-IPC_C","BottomLayer","180"
"5130.000","400.000","CRCW06035K10FKEA","RES Thick Film, 5.1kO, 1%, 0.1W, 100ppm/°C, 0603","R3","FP-CRCW0603-e3-IPC_C","BottomLayer","0"
"5244.095","211.201","USB4110-GF-A","CONN USB 2.0 TYPE-C R/A SMT","J1","FP-USB4110-GF-A-MFG","BottomLayer","180"
"5244.095","648.126","1760490000","OMNIMATE Signal - series PM","E1","PM_5_08_90_02","BottomLayer","180"
"3467.077","105.000","CL05A226MQ5QUNC","Cap Ceramic 22uF 6.3V X5R ±20% SMD 0402 +85°C Paper T/R","C258","FP-CL746-IPC_C","BottomLayer","270"
"3401.043","105.000","CL05A226MQ5QUNC","Cap Ceramic 22uF 6.3V X5R ±20% SMD 0402 +85°C Paper T/R","C257","FP-CL746-IPC_C","BottomLayer","270"
"3195.000","105.000","147873-1","SWITCH TACTILE SPST-NO 0.05A 24V","SW1","FP-147873-1-MFG","BottomLayer","0"
"3315.000","223.199","CRCW060310K0FKEA","Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R1","RESC1609X50X30NL8T20","BottomLayer","180"
"655.512","9832.677","PTH-M3D5X5","Plated Thru-Hole M3 D5X5","*4","PTH-M3D5X5-Footprint-1","TopLayer","0"
"9832.677","655.512","PTH-M3D5X5","Plated Thru-Hole M3 D5X5","*3","PTH-M3D5X5-Footprint-1","TopLayer","0"
"9832.677","9832.677","PTH-M3D5X5","Plated Thru-Hole M3 D5X5","*2","PTH-M3D5X5-Footprint-1","TopLayer","0"
"655.512","655.512","PTH-M3D5X5","Plated Thru-Hole M3 D5X5","*1","PTH-M3D5X5-Footprint-1","TopLayer","0"
"10160.433","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U256","ADA-RGB-1655_V","TopLayer","0"
"9504.921","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U255","ADA-RGB-1655_V","TopLayer","0"
"8849.409","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U254","ADA-RGB-1655_V","TopLayer","0"
"8193.898","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U253","ADA-RGB-1655_V","TopLayer","0"
"7538.386","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U252","ADA-RGB-1655_V","TopLayer","0"
"6882.874","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U251","ADA-RGB-1655_V","TopLayer","0"
"6227.362","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U250","ADA-RGB-1655_V","TopLayer","0"
"5571.851","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U249","ADA-RGB-1655_V","TopLayer","0"
"4916.339","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U248","ADA-RGB-1655_V","TopLayer","0"
"4260.827","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U247","ADA-RGB-1655_V","TopLayer","0"
"3605.315","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U246","ADA-RGB-1655_V","TopLayer","0"
"2949.803","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U245","ADA-RGB-1655_V","TopLayer","0"
"2294.291","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U244","ADA-RGB-1655_V","TopLayer","0"
"1638.779","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U243","ADA-RGB-1655_V","TopLayer","0"
"983.268","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U242","ADA-RGB-1655_V","TopLayer","0"
"327.756","327.756","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U241","ADA-RGB-1655_V","TopLayer","0"
"10160.433","983.268","1655","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel","U240","ADA-RGB-1655_V","TopLayer","0"
